
================================================= Netlist Information ==================================================

Total Gates : 100 || Total Pins : 4788 || Total Wires : 1232

=================================================== Gate Information ===================================================

Gate : 1 || Pos_X : 41 || Pos_Y 6 || Width : 17 || Height : 88
Pin : 1 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 17
Pin : 30 || Parent_Gate : 61 || Pin_X : 62 || Pin_Y : 675
Pin : 31 || Parent_Gate : 61 || Pin_X : 62 || Pin_Y : 618
Pin : 32 || Parent_Gate : 61 || Pin_X : 62 || Pin_Y : 677
Pin : 33 || Parent_Gate : 61 || Pin_X : 62 || Pin_Y : 625
Pin : 34 || Parent_Gate : 61 || Pin_X : 62 || Pin_Y : 639
Pin : 35 || Parent_Gate : 61 || Pin_X : 62 || Pin_Y : 655
Pin : 36 || Parent_Gate : 61 || Pin_X : 62 || Pin_Y : 664
Pin : 37 || Parent_Gate : 61 || Pin_X : 62 || Pin_Y : 621
Pin : 38 || Parent_Gate : 61 || Pin_X : 62 || Pin_Y : 670

Gate : 62 || Pos_X : 111 || Pos_Y 645 || Width : 77 || Height : 9
Pin : 1 || Parent_Gate : 62 || Pin_X : 111 || Pin_Y : 648
Pin : 2 || Parent_Gate : 62 || Pin_X : 111 || Pin_Y : 650
Pin : 3 || Parent_Gate : 62 || Pin_X : 111 || Pin_Y : 651
Pin : 4 || Parent_Gate : 62 || Pin_X : 111 || Pin_Y : 652
Pin : 5 || Parent_Gate : 62 || Pin_X : 111 || Pin_Y : 653
Pin : 6 || Parent_Gate : 62 || Pin_X : 111 || Pin_Y : 654
Pin : 7 || Parent_Gate : 62 || Pin_X : 188 || Pin_Y : 646
Pin : 8 || Parent_Gate : 62 || Pin_X : 188 || Pin_Y : 652
Pin : 9 || Parent_Gate : 62 || Pin_X : 188 || Pin_Y : 654

Gate : 63 || Pos_X : 227 || Pos_Y 639 || Width : 46 || Height : 22
Pin : 1 || Parent_Gate : 63 || Pin_X : 227 || Pin_Y : 642
Pin : 2 || Parent_Gate : 63 || Pin_X : 227 || Pin_Y : 641
Pin : 3 || Parent_Gate : 63 || Pin_X : 227 || Pin_Y : 644
Pin : 4 || Parent_Gate : 63 || Pin_X : 227 || Pin_Y : 645
Pin : 5 || Parent_Gate : 63 || Pin_X : 227 || Pin_Y : 643
Pin : 6 || Parent_Gate : 63 || Pin_X : 227 || Pin_Y : 647
Pin : 7 || Parent_Gate : 63 || Pin_X : 227 || Pin_Y : 648
Pin : 8 || Parent_Gate : 63 || Pin_X : 227 || Pin_Y : 649
Pin : 9 || Parent_Gate : 63 || Pin_X : 227 || Pin_Y : 650
Pin : 10 || Parent_Gate : 63 || Pin_X : 227 || Pin_Y : 651
Pin : 11 || Parent_Gate : 63 || Pin_X : 227 || Pin_Y : 652
Pin : 12 || Parent_Gate : 63 || Pin_X : 227 || Pin_Y : 653
Pin : 13 || Parent_Gate : 63 || Pin_X : 227 || Pin_Y : 654
Pin : 14 || Parent_Gate : 63 || Pin_X : 227 || Pin_Y : 655
Pin : 15 || Parent_Gate : 63 || Pin_X : 227 || Pin_Y : 656
Pin : 16 || Parent_Gate : 63 || Pin_X : 227 || Pin_Y : 657
Pin : 17 || Parent_Gate : 63 || Pin_X : 227 || Pin_Y : 658
Pin : 18 || Parent_Gate : 63 || Pin_X : 227 || Pin_Y : 659
Pin : 19 || Parent_Gate : 63 || Pin_X : 227 || Pin_Y : 660
Pin : 20 || Parent_Gate : 63 || Pin_X : 227 || Pin_Y : 661
Pin : 21 || Parent_Gate : 63 || Pin_X : 273 || Pin_Y : 644
Pin : 22 || Parent_Gate : 63 || Pin_X : 273 || Pin_Y : 642
Pin : 23 || Parent_Gate : 63 || Pin_X : 273 || Pin_Y : 646
Pin : 24 || Parent_Gate : 63 || Pin_X : 273 || Pin_Y : 640
Pin : 25 || Parent_Gate : 63 || Pin_X : 273 || Pin_Y : 645
Pin : 26 || Parent_Gate : 63 || Pin_X : 273 || Pin_Y : 643
Pin : 27 || Parent_Gate : 63 || Pin_X : 273 || Pin_Y : 648
Pin : 28 || Parent_Gate : 63 || Pin_X : 273 || Pin_Y : 651
Pin : 29 || Parent_Gate : 63 || Pin_X : 273 || Pin_Y : 652
Pin : 30 || Parent_Gate : 63 || Pin_X : 273 || Pin_Y : 653
Pin : 31 || Parent_Gate : 63 || Pin_X : 273 || Pin_Y : 654
Pin : 32 || Parent_Gate : 63 || Pin_X : 273 || Pin_Y : 655
Pin : 33 || Parent_Gate : 63 || Pin_X : 273 || Pin_Y : 649
Pin : 34 || Parent_Gate : 63 || Pin_X : 273 || Pin_Y : 657
Pin : 35 || Parent_Gate : 63 || Pin_X : 273 || Pin_Y : 658
Pin : 36 || Parent_Gate : 63 || Pin_X : 273 || Pin_Y : 659
Pin : 37 || Parent_Gate : 63 || Pin_X : 273 || Pin_Y : 660
Pin : 38 || Parent_Gate : 63 || Pin_X : 273 || Pin_Y : 661

Gate : 64 || Pos_X : 318 || Pos_Y 600 || Width : 63 || Height : 99
Pin : 1 || Parent_Gate : 64 || Pin_X : 318 || Pin_Y : 641
Pin : 2 || Parent_Gate : 64 || Pin_X : 318 || Pin_Y : 633
Pin : 3 || Parent_Gate : 64 || Pin_X : 318 || Pin_Y : 619
Pin : 4 || Parent_Gate : 64 || Pin_X : 318 || Pin_Y : 654
Pin : 5 || Parent_Gate : 64 || Pin_X : 318 || Pin_Y : 662
Pin : 6 || Parent_Gate : 64 || Pin_X : 318 || Pin_Y : 652
Pin : 7 || Parent_Gate : 64 || Pin_X : 318 || Pin_Y : 624
Pin : 8 || Parent_Gate : 64 || Pin_X : 318 || Pin_Y : 665
Pin : 9 || Parent_Gate : 64 || Pin_X : 318 || Pin_Y : 608
Pin : 10 || Parent_Gate : 64 || Pin_X : 318 || Pin_Y : 651
Pin : 11 || Parent_Gate : 64 || Pin_X : 318 || Pin_Y : 646
Pin : 12 || Parent_Gate : 64 || Pin_X : 318 || Pin_Y : 602
Pin : 13 || Parent_Gate : 64 || Pin_X : 318 || Pin_Y : 620
Pin : 14 || Parent_Gate : 64 || Pin_X : 318 || Pin_Y : 629
Pin : 15 || Parent_Gate : 64 || Pin_X : 318 || Pin_Y : 643
Pin : 16 || Parent_Gate : 64 || Pin_X : 318 || Pin_Y : 621
Pin : 17 || Parent_Gate : 64 || Pin_X : 318 || Pin_Y : 634
Pin : 18 || Parent_Gate : 64 || Pin_X : 318 || Pin_Y : 667
Pin : 19 || Parent_Gate : 64 || Pin_X : 318 || Pin_Y : 676
Pin : 20 || Parent_Gate : 64 || Pin_X : 318 || Pin_Y : 677
Pin : 21 || Parent_Gate : 64 || Pin_X : 318 || Pin_Y : 678
Pin : 22 || Parent_Gate : 64 || Pin_X : 318 || Pin_Y : 679
Pin : 23 || Parent_Gate : 64 || Pin_X : 318 || Pin_Y : 659
Pin : 24 || Parent_Gate : 64 || Pin_X : 318 || Pin_Y : 628
Pin : 25 || Parent_Gate : 64 || Pin_X : 318 || Pin_Y : 658
Pin : 26 || Parent_Gate : 64 || Pin_X : 318 || Pin_Y : 681
Pin : 27 || Parent_Gate : 64 || Pin_X : 318 || Pin_Y : 684
Pin : 28 || Parent_Gate : 64 || Pin_X : 318 || Pin_Y : 611
Pin : 29 || Parent_Gate : 64 || Pin_X : 318 || Pin_Y : 655
Pin : 30 || Parent_Gate : 64 || Pin_X : 318 || Pin_Y : 639
Pin : 31 || Parent_Gate : 64 || Pin_X : 318 || Pin_Y : 688
Pin : 32 || Parent_Gate : 64 || Pin_X : 318 || Pin_Y : 648
Pin : 33 || Parent_Gate : 64 || Pin_X : 318 || Pin_Y : 675
Pin : 34 || Parent_Gate : 64 || Pin_X : 318 || Pin_Y : 680
Pin : 35 || Parent_Gate : 64 || Pin_X : 318 || Pin_Y : 692
Pin : 36 || Parent_Gate : 64 || Pin_X : 318 || Pin_Y : 610
Pin : 37 || Parent_Gate : 64 || Pin_X : 318 || Pin_Y : 694
Pin : 38 || Parent_Gate : 64 || Pin_X : 318 || Pin_Y : 614
Pin : 39 || Parent_Gate : 64 || Pin_X : 318 || Pin_Y : 603
Pin : 40 || Parent_Gate : 64 || Pin_X : 318 || Pin_Y : 697
Pin : 41 || Parent_Gate : 64 || Pin_X : 318 || Pin_Y : 686
Pin : 42 || Parent_Gate : 64 || Pin_X : 318 || Pin_Y : 616
Pin : 43 || Parent_Gate : 64 || Pin_X : 381 || Pin_Y : 633
Pin : 44 || Parent_Gate : 64 || Pin_X : 381 || Pin_Y : 645
Pin : 45 || Parent_Gate : 64 || Pin_X : 381 || Pin_Y : 619
Pin : 46 || Parent_Gate : 64 || Pin_X : 381 || Pin_Y : 686
Pin : 47 || Parent_Gate : 64 || Pin_X : 381 || Pin_Y : 636
Pin : 48 || Parent_Gate : 64 || Pin_X : 381 || Pin_Y : 642
Pin : 49 || Parent_Gate : 64 || Pin_X : 381 || Pin_Y : 666
Pin : 50 || Parent_Gate : 64 || Pin_X : 381 || Pin_Y : 648
Pin : 51 || Parent_Gate : 64 || Pin_X : 381 || Pin_Y : 647
Pin : 52 || Parent_Gate : 64 || Pin_X : 381 || Pin_Y : 650
Pin : 53 || Parent_Gate : 64 || Pin_X : 381 || Pin_Y : 661
Pin : 54 || Parent_Gate : 64 || Pin_X : 381 || Pin_Y : 635
Pin : 55 || Parent_Gate : 64 || Pin_X : 381 || Pin_Y : 638
Pin : 56 || Parent_Gate : 64 || Pin_X : 381 || Pin_Y : 678
Pin : 57 || Parent_Gate : 64 || Pin_X : 381 || Pin_Y : 697
Pin : 58 || Parent_Gate : 64 || Pin_X : 381 || Pin_Y : 646
Pin : 59 || Parent_Gate : 64 || Pin_X : 381 || Pin_Y : 656

Gate : 65 || Pos_X : 403 || Pos_Y 634 || Width : 93 || Height : 32
Pin : 1 || Parent_Gate : 65 || Pin_X : 403 || Pin_Y : 661
Pin : 2 || Parent_Gate : 65 || Pin_X : 496 || Pin_Y : 643
Pin : 3 || Parent_Gate : 65 || Pin_X : 496 || Pin_Y : 636
Pin : 4 || Parent_Gate : 65 || Pin_X : 496 || Pin_Y : 645
Pin : 5 || Parent_Gate : 65 || Pin_X : 496 || Pin_Y : 635
Pin : 6 || Parent_Gate : 65 || Pin_X : 496 || Pin_Y : 647
Pin : 7 || Parent_Gate : 65 || Pin_X : 496 || Pin_Y : 648
Pin : 8 || Parent_Gate : 65 || Pin_X : 496 || Pin_Y : 649
Pin : 9 || Parent_Gate : 65 || Pin_X : 496 || Pin_Y : 646
Pin : 10 || Parent_Gate : 65 || Pin_X : 496 || Pin_Y : 641
Pin : 11 || Parent_Gate : 65 || Pin_X : 496 || Pin_Y : 637
Pin : 12 || Parent_Gate : 65 || Pin_X : 496 || Pin_Y : 653
Pin : 13 || Parent_Gate : 65 || Pin_X : 496 || Pin_Y : 650
Pin : 14 || Parent_Gate : 65 || Pin_X : 496 || Pin_Y : 655
Pin : 15 || Parent_Gate : 65 || Pin_X : 496 || Pin_Y : 656
Pin : 16 || Parent_Gate : 65 || Pin_X : 496 || Pin_Y : 642
Pin : 17 || Parent_Gate : 65 || Pin_X : 496 || Pin_Y : 658
Pin : 18 || Parent_Gate : 65 || Pin_X : 496 || Pin_Y : 659
Pin : 19 || Parent_Gate : 65 || Pin_X : 496 || Pin_Y : 660
Pin : 20 || Parent_Gate : 65 || Pin_X : 496 || Pin_Y : 639
Pin : 21 || Parent_Gate : 65 || Pin_X : 496 || Pin_Y : 662
Pin : 22 || Parent_Gate : 65 || Pin_X : 496 || Pin_Y : 663
Pin : 23 || Parent_Gate : 65 || Pin_X : 496 || Pin_Y : 664
Pin : 24 || Parent_Gate : 65 || Pin_X : 496 || Pin_Y : 665
Pin : 25 || Parent_Gate : 65 || Pin_X : 496 || Pin_Y : 661

Gate : 66 || Pos_X : 539 || Pos_Y 617 || Width : 22 || Height : 65
Pin : 1 || Parent_Gate : 66 || Pin_X : 539 || Pin_Y : 636
Pin : 2 || Parent_Gate : 66 || Pin_X : 539 || Pin_Y : 632
Pin : 3 || Parent_Gate : 66 || Pin_X : 539 || Pin_Y : 630
Pin : 4 || Parent_Gate : 66 || Pin_X : 539 || Pin_Y : 631
Pin : 5 || Parent_Gate : 66 || Pin_X : 539 || Pin_Y : 639
Pin : 6 || Parent_Gate : 66 || Pin_X : 539 || Pin_Y : 625
Pin : 7 || Parent_Gate : 66 || Pin_X : 539 || Pin_Y : 654
Pin : 8 || Parent_Gate : 66 || Pin_X : 539 || Pin_Y : 656
Pin : 9 || Parent_Gate : 66 || Pin_X : 539 || Pin_Y : 655
Pin : 10 || Parent_Gate : 66 || Pin_X : 539 || Pin_Y : 622
Pin : 11 || Parent_Gate : 66 || Pin_X : 539 || Pin_Y : 648
Pin : 12 || Parent_Gate : 66 || Pin_X : 539 || Pin_Y : 650
Pin : 13 || Parent_Gate : 66 || Pin_X : 539 || Pin_Y : 658
Pin : 14 || Parent_Gate : 66 || Pin_X : 539 || Pin_Y : 646
Pin : 15 || Parent_Gate : 66 || Pin_X : 539 || Pin_Y : 657
Pin : 16 || Parent_Gate : 66 || Pin_X : 539 || Pin_Y : 664
Pin : 17 || Parent_Gate : 66 || Pin_X : 539 || Pin_Y : 665
Pin : 18 || Parent_Gate : 66 || Pin_X : 539 || Pin_Y : 651
Pin : 19 || Parent_Gate : 66 || Pin_X : 539 || Pin_Y : 667
Pin : 20 || Parent_Gate : 66 || Pin_X : 539 || Pin_Y : 635
Pin : 21 || Parent_Gate : 66 || Pin_X : 539 || Pin_Y : 628
Pin : 22 || Parent_Gate : 66 || Pin_X : 539 || Pin_Y : 670
Pin : 23 || Parent_Gate : 66 || Pin_X : 539 || Pin_Y : 662
Pin : 24 || Parent_Gate : 66 || Pin_X : 539 || Pin_Y : 672
Pin : 25 || Parent_Gate : 66 || Pin_X : 539 || Pin_Y : 673
Pin : 26 || Parent_Gate : 66 || Pin_X : 539 || Pin_Y : 674
Pin : 27 || Parent_Gate : 66 || Pin_X : 539 || Pin_Y : 675
Pin : 28 || Parent_Gate : 66 || Pin_X : 539 || Pin_Y : 666
Pin : 29 || Parent_Gate : 66 || Pin_X : 539 || Pin_Y : 653
Pin : 30 || Parent_Gate : 66 || Pin_X : 539 || Pin_Y : 678
Pin : 31 || Parent_Gate : 66 || Pin_X : 539 || Pin_Y : 679
Pin : 32 || Parent_Gate : 66 || Pin_X : 539 || Pin_Y : 668
Pin : 33 || Parent_Gate : 66 || Pin_X : 539 || Pin_Y : 641
Pin : 34 || Parent_Gate : 66 || Pin_X : 539 || Pin_Y : 682
Pin : 35 || Parent_Gate : 66 || Pin_X : 561 || Pin_Y : 632
Pin : 36 || Parent_Gate : 66 || Pin_X : 561 || Pin_Y : 654
Pin : 37 || Parent_Gate : 66 || Pin_X : 561 || Pin_Y : 659
Pin : 38 || Parent_Gate : 66 || Pin_X : 561 || Pin_Y : 671
Pin : 39 || Parent_Gate : 66 || Pin_X : 561 || Pin_Y : 667
Pin : 40 || Parent_Gate : 66 || Pin_X : 561 || Pin_Y : 625
Pin : 41 || Parent_Gate : 66 || Pin_X : 561 || Pin_Y : 653
Pin : 42 || Parent_Gate : 66 || Pin_X : 561 || Pin_Y : 646
Pin : 43 || Parent_Gate : 66 || Pin_X : 561 || Pin_Y : 676
Pin : 44 || Parent_Gate : 66 || Pin_X : 561 || Pin_Y : 677
Pin : 45 || Parent_Gate : 66 || Pin_X : 561 || Pin_Y : 678
Pin : 46 || Parent_Gate : 66 || Pin_X : 561 || Pin_Y : 672
Pin : 47 || Parent_Gate : 66 || Pin_X : 561 || Pin_Y : 639
Pin : 48 || Parent_Gate : 66 || Pin_X : 561 || Pin_Y : 681
Pin : 49 || Parent_Gate : 66 || Pin_X : 561 || Pin_Y : 640

Gate : 67 || Pos_X : 648 || Pos_Y 637 || Width : 4 || Height : 26
Pin : 1 || Parent_Gate : 67 || Pin_X : 648 || Pin_Y : 644
Pin : 2 || Parent_Gate : 67 || Pin_X : 648 || Pin_Y : 648
Pin : 3 || Parent_Gate : 67 || Pin_X : 648 || Pin_Y : 642
Pin : 4 || Parent_Gate : 67 || Pin_X : 648 || Pin_Y : 640
Pin : 5 || Parent_Gate : 67 || Pin_X : 648 || Pin_Y : 654
Pin : 6 || Parent_Gate : 67 || Pin_X : 648 || Pin_Y : 646
Pin : 7 || Parent_Gate : 67 || Pin_X : 648 || Pin_Y : 652
Pin : 8 || Parent_Gate : 67 || Pin_X : 648 || Pin_Y : 657
Pin : 9 || Parent_Gate : 67 || Pin_X : 648 || Pin_Y : 658
Pin : 10 || Parent_Gate : 67 || Pin_X : 648 || Pin_Y : 656
Pin : 11 || Parent_Gate : 67 || Pin_X : 648 || Pin_Y : 639
Pin : 12 || Parent_Gate : 67 || Pin_X : 648 || Pin_Y : 649
Pin : 13 || Parent_Gate : 67 || Pin_X : 648 || Pin_Y : 660
Pin : 14 || Parent_Gate : 67 || Pin_X : 648 || Pin_Y : 663
Pin : 15 || Parent_Gate : 67 || Pin_X : 652 || Pin_Y : 646
Pin : 16 || Parent_Gate : 67 || Pin_X : 652 || Pin_Y : 643
Pin : 17 || Parent_Gate : 67 || Pin_X : 652 || Pin_Y : 648
Pin : 18 || Parent_Gate : 67 || Pin_X : 652 || Pin_Y : 638
Pin : 19 || Parent_Gate : 67 || Pin_X : 652 || Pin_Y : 652
Pin : 20 || Parent_Gate : 67 || Pin_X : 652 || Pin_Y : 647
Pin : 21 || Parent_Gate : 67 || Pin_X : 652 || Pin_Y : 654
Pin : 22 || Parent_Gate : 67 || Pin_X : 652 || Pin_Y : 655
Pin : 23 || Parent_Gate : 67 || Pin_X : 652 || Pin_Y : 656
Pin : 24 || Parent_Gate : 67 || Pin_X : 652 || Pin_Y : 651
Pin : 25 || Parent_Gate : 67 || Pin_X : 652 || Pin_Y : 658
Pin : 26 || Parent_Gate : 67 || Pin_X : 652 || Pin_Y : 657
Pin : 27 || Parent_Gate : 67 || Pin_X : 652 || Pin_Y : 660
Pin : 28 || Parent_Gate : 67 || Pin_X : 652 || Pin_Y : 661
Pin : 29 || Parent_Gate : 67 || Pin_X : 652 || Pin_Y : 662
Pin : 30 || Parent_Gate : 67 || Pin_X : 652 || Pin_Y : 663

Gate : 68 || Pos_X : 713 || Pos_Y 624 || Width : 73 || Height : 51
Pin : 1 || Parent_Gate : 68 || Pin_X : 713 || Pin_Y : 628
Pin : 2 || Parent_Gate : 68 || Pin_X : 713 || Pin_Y : 631
Pin : 3 || Parent_Gate : 68 || Pin_X : 713 || Pin_Y : 627
Pin : 4 || Parent_Gate : 68 || Pin_X : 713 || Pin_Y : 633
Pin : 5 || Parent_Gate : 68 || Pin_X : 713 || Pin_Y : 632
Pin : 6 || Parent_Gate : 68 || Pin_X : 713 || Pin_Y : 635
Pin : 7 || Parent_Gate : 68 || Pin_X : 713 || Pin_Y : 636
Pin : 8 || Parent_Gate : 68 || Pin_X : 713 || Pin_Y : 637
Pin : 9 || Parent_Gate : 68 || Pin_X : 713 || Pin_Y : 626
Pin : 10 || Parent_Gate : 68 || Pin_X : 713 || Pin_Y : 639
Pin : 11 || Parent_Gate : 68 || Pin_X : 713 || Pin_Y : 640
Pin : 12 || Parent_Gate : 68 || Pin_X : 713 || Pin_Y : 638
Pin : 13 || Parent_Gate : 68 || Pin_X : 713 || Pin_Y : 642
Pin : 14 || Parent_Gate : 68 || Pin_X : 713 || Pin_Y : 643
Pin : 15 || Parent_Gate : 68 || Pin_X : 713 || Pin_Y : 644
Pin : 16 || Parent_Gate : 68 || Pin_X : 713 || Pin_Y : 645
Pin : 17 || Parent_Gate : 68 || Pin_X : 713 || Pin_Y : 646
Pin : 18 || Parent_Gate : 68 || Pin_X : 713 || Pin_Y : 647
Pin : 19 || Parent_Gate : 68 || Pin_X : 713 || Pin_Y : 648
Pin : 20 || Parent_Gate : 68 || Pin_X : 713 || Pin_Y : 649
Pin : 21 || Parent_Gate : 68 || Pin_X : 713 || Pin_Y : 650
Pin : 22 || Parent_Gate : 68 || Pin_X : 713 || Pin_Y : 651
Pin : 23 || Parent_Gate : 68 || Pin_X : 713 || Pin_Y : 629
Pin : 24 || Parent_Gate : 68 || Pin_X : 713 || Pin_Y : 653
Pin : 25 || Parent_Gate : 68 || Pin_X : 713 || Pin_Y : 654
Pin : 26 || Parent_Gate : 68 || Pin_X : 713 || Pin_Y : 655
Pin : 27 || Parent_Gate : 68 || Pin_X : 713 || Pin_Y : 656
Pin : 28 || Parent_Gate : 68 || Pin_X : 713 || Pin_Y : 657
Pin : 29 || Parent_Gate : 68 || Pin_X : 713 || Pin_Y : 658
Pin : 30 || Parent_Gate : 68 || Pin_X : 713 || Pin_Y : 659
Pin : 31 || Parent_Gate : 68 || Pin_X : 713 || Pin_Y : 652
Pin : 32 || Parent_Gate : 68 || Pin_X : 713 || Pin_Y : 625
Pin : 33 || Parent_Gate : 68 || Pin_X : 713 || Pin_Y : 662
Pin : 34 || Parent_Gate : 68 || Pin_X : 713 || Pin_Y : 663
Pin : 35 || Parent_Gate : 68 || Pin_X : 713 || Pin_Y : 664
Pin : 36 || Parent_Gate : 68 || Pin_X : 713 || Pin_Y : 665
Pin : 37 || Parent_Gate : 68 || Pin_X : 713 || Pin_Y : 666
Pin : 38 || Parent_Gate : 68 || Pin_X : 713 || Pin_Y : 667
Pin : 39 || Parent_Gate : 68 || Pin_X : 713 || Pin_Y : 668
Pin : 40 || Parent_Gate : 68 || Pin_X : 713 || Pin_Y : 669
Pin : 41 || Parent_Gate : 68 || Pin_X : 713 || Pin_Y : 670
Pin : 42 || Parent_Gate : 68 || Pin_X : 713 || Pin_Y : 671
Pin : 43 || Parent_Gate : 68 || Pin_X : 713 || Pin_Y : 672
Pin : 44 || Parent_Gate : 68 || Pin_X : 713 || Pin_Y : 673
Pin : 45 || Parent_Gate : 68 || Pin_X : 713 || Pin_Y : 674
Pin : 46 || Parent_Gate : 68 || Pin_X : 713 || Pin_Y : 675
Pin : 47 || Parent_Gate : 68 || Pin_X : 786 || Pin_Y : 632
Pin : 48 || Parent_Gate : 68 || Pin_X : 786 || Pin_Y : 641
Pin : 49 || Parent_Gate : 68 || Pin_X : 786 || Pin_Y : 642
Pin : 50 || Parent_Gate : 68 || Pin_X : 786 || Pin_Y : 657
Pin : 51 || Parent_Gate : 68 || Pin_X : 786 || Pin_Y : 630
Pin : 52 || Parent_Gate : 68 || Pin_X : 786 || Pin_Y : 653
Pin : 53 || Parent_Gate : 68 || Pin_X : 786 || Pin_Y : 660
Pin : 54 || Parent_Gate : 68 || Pin_X : 786 || Pin_Y : 639
Pin : 55 || Parent_Gate : 68 || Pin_X : 786 || Pin_Y : 637
Pin : 56 || Parent_Gate : 68 || Pin_X : 786 || Pin_Y : 644
Pin : 57 || Parent_Gate : 68 || Pin_X : 786 || Pin_Y : 659
Pin : 58 || Parent_Gate : 68 || Pin_X : 786 || Pin_Y : 658
Pin : 59 || Parent_Gate : 68 || Pin_X : 786 || Pin_Y : 656
Pin : 60 || Parent_Gate : 68 || Pin_X : 786 || Pin_Y : 662
Pin : 61 || Parent_Gate : 68 || Pin_X : 786 || Pin_Y : 663
Pin : 62 || Parent_Gate : 68 || Pin_X : 786 || Pin_Y : 643
Pin : 63 || Parent_Gate : 68 || Pin_X : 786 || Pin_Y : 640
Pin : 64 || Parent_Gate : 68 || Pin_X : 786 || Pin_Y : 671
Pin : 65 || Parent_Gate : 68 || Pin_X : 786 || Pin_Y : 672
Pin : 66 || Parent_Gate : 68 || Pin_X : 786 || Pin_Y : 646
Pin : 67 || Parent_Gate : 68 || Pin_X : 786 || Pin_Y : 651
Pin : 68 || Parent_Gate : 68 || Pin_X : 786 || Pin_Y : 675

Gate : 69 || Pos_X : 829 || Pos_Y 646 || Width : 42 || Height : 8
Pin : 1 || Parent_Gate : 69 || Pin_X : 829 || Pin_Y : 647
Pin : 2 || Parent_Gate : 69 || Pin_X : 829 || Pin_Y : 648
Pin : 3 || Parent_Gate : 69 || Pin_X : 829 || Pin_Y : 649
Pin : 4 || Parent_Gate : 69 || Pin_X : 829 || Pin_Y : 650
Pin : 5 || Parent_Gate : 69 || Pin_X : 829 || Pin_Y : 651
Pin : 6 || Parent_Gate : 69 || Pin_X : 829 || Pin_Y : 652
Pin : 7 || Parent_Gate : 69 || Pin_X : 829 || Pin_Y : 653
Pin : 8 || Parent_Gate : 69 || Pin_X : 829 || Pin_Y : 654
Pin : 9 || Parent_Gate : 69 || Pin_X : 871 || Pin_Y : 648
Pin : 10 || Parent_Gate : 69 || Pin_X : 871 || Pin_Y : 647
Pin : 11 || Parent_Gate : 69 || Pin_X : 871 || Pin_Y : 651
Pin : 12 || Parent_Gate : 69 || Pin_X : 871 || Pin_Y : 652
Pin : 13 || Parent_Gate : 69 || Pin_X : 871 || Pin_Y : 650
Pin : 14 || Parent_Gate : 69 || Pin_X : 871 || Pin_Y : 654

Gate : 70 || Pos_X : 945 || Pos_Y 619 || Width : 10 || Height : 61
Pin : 1 || Parent_Gate : 70 || Pin_X : 945 || Pin_Y : 620
Pin : 2 || Parent_Gate : 70 || Pin_X : 945 || Pin_Y : 621
Pin : 3 || Parent_Gate : 70 || Pin_X : 945 || Pin_Y : 622
Pin : 4 || Parent_Gate : 70 || Pin_X : 945 || Pin_Y : 623
Pin : 5 || Parent_Gate : 70 || Pin_X : 945 || Pin_Y : 624
Pin : 6 || Parent_Gate : 70 || Pin_X : 945 || Pin_Y : 625
Pin : 7 || Parent_Gate : 70 || Pin_X : 945 || Pin_Y : 626
Pin : 8 || Parent_Gate : 70 || Pin_X : 945 || Pin_Y : 627
Pin : 9 || Parent_Gate : 70 || Pin_X : 945 || Pin_Y : 628
Pin : 10 || Parent_Gate : 70 || Pin_X : 945 || Pin_Y : 629
Pin : 11 || Parent_Gate : 70 || Pin_X : 945 || Pin_Y : 630
Pin : 12 || Parent_Gate : 70 || Pin_X : 945 || Pin_Y : 631
Pin : 13 || Parent_Gate : 70 || Pin_X : 945 || Pin_Y : 632
Pin : 14 || Parent_Gate : 70 || Pin_X : 945 || Pin_Y : 633
Pin : 15 || Parent_Gate : 70 || Pin_X : 945 || Pin_Y : 634
Pin : 16 || Parent_Gate : 70 || Pin_X : 945 || Pin_Y : 635
Pin : 17 || Parent_Gate : 70 || Pin_X : 945 || Pin_Y : 636
Pin : 18 || Parent_Gate : 70 || Pin_X : 945 || Pin_Y : 637
Pin : 19 || Parent_Gate : 70 || Pin_X : 945 || Pin_Y : 638
Pin : 20 || Parent_Gate : 70 || Pin_X : 945 || Pin_Y : 639
Pin : 21 || Parent_Gate : 70 || Pin_X : 945 || Pin_Y : 640
Pin : 22 || Parent_Gate : 70 || Pin_X : 945 || Pin_Y : 641
Pin : 23 || Parent_Gate : 70 || Pin_X : 945 || Pin_Y : 642
Pin : 24 || Parent_Gate : 70 || Pin_X : 945 || Pin_Y : 643
Pin : 25 || Parent_Gate : 70 || Pin_X : 945 || Pin_Y : 644
Pin : 26 || Parent_Gate : 70 || Pin_X : 945 || Pin_Y : 645
Pin : 27 || Parent_Gate : 70 || Pin_X : 945 || Pin_Y : 646
Pin : 28 || Parent_Gate : 70 || Pin_X : 945 || Pin_Y : 647
Pin : 29 || Parent_Gate : 70 || Pin_X : 945 || Pin_Y : 648
Pin : 30 || Parent_Gate : 70 || Pin_X : 945 || Pin_Y : 649
Pin : 31 || Parent_Gate : 70 || Pin_X : 945 || Pin_Y : 650
Pin : 32 || Parent_Gate : 70 || Pin_X : 945 || Pin_Y : 651
Pin : 33 || Parent_Gate : 70 || Pin_X : 945 || Pin_Y : 652
Pin : 34 || Parent_Gate : 70 || Pin_X : 945 || Pin_Y : 653
Pin : 35 || Parent_Gate : 70 || Pin_X : 945 || Pin_Y : 654
