g1 23 55 
wire g8.p60 g7.p17
wire g6.p128 g9.p10
wire g1.p40 g3.p12
wire g4.p20 g1.p36
wire g10.p42 g7.p25
wire g5.p53 g3.p11
wire g1.p60 g8.p45
wire g10.p19 g4.p18
wire g7.p22 g6.p105
wire g2.p44 g6.p89
wire g1.p35 g5.p63
wire g2.p75 g6.p18
wire g6.p108 g9.p12
wire g3.p13 g5.p67
wire g1.p63 g3.p4
wire g3.p16 g6.p129
wire g2.p2 g4.p16
wire g7.p18 g3.p21
wire g3.p3 g5.p51
wire g2.p46 g9.p8
wire g7.p27 g2.p51
wire g5.p7 g2.p64
wire g9.p11 g6.p98
wire g3.p8 g9.p10
wire g4.p17 g1.p36
wire g5.p54 g6.p91
wire g4.p24 g6.p52
wire g3.p3 g7.p26
wire g8.p67 g3.p4
wire g2.p83 g10.p22
wire g4.p15 g6.p116
wire g2.p99 g10.p46
wire g10.p39 g7.p29
wire g7.p21 g10.p43
wire g3.p12 g4.p16
wire g3.p13 g9.p9
wire g1.p71 g3.p5
wire g9.p8 g5.p64
wire g8.p49 g10.p20
wire g4.p19 g2.p62
wire g7.p18 g4.p20
wire g2.p49 g10.p34
wire g3.p3 g4.p13
wire g4.p15 g3.p16
wire g7.p27 g2.p78
wire g10.p38 g8.p40
wire g2.p95 g7.p25
wire g4.p16 g1.p65
wire g6.p68 g2.p70
wire g2.p97 g3.p11
wire g9.p10 g3.p6
wire g1.p68 g8.p48
wire g9.p8 g10.p39
wire g1.p56 g8.p67
wire g6.p103 g3.p10
wire g4.p19 g2.p90
wire g8.p42 g7.p20
wire g8.p70 g2.p45
wire g2.p58 g4.p21
wire g7.p21 g10.p20
wire g3.p22 g1.p67
wire g2.p71 g3.p8
wire g6.p128 g1.p59
wire g10.p27 g4.p23
wire g9.p8 g10.p41
wire g10.p42 g3.p17
wire g10.p47 g3.p22
wire g2.p68 g10.p47
wire g7.p24 g4.p16
wire g3.p6 g6.p75
wire g9.p8 g7.p17
wire g10.p19 g4.p20
wire g10.p47 g3.p4
wire g3.p4 g1.p40
wire g10.p46 g4.p24
wire g1.p32 g2.p66
wire g3.p13 g10.p21
wire g6.p123 g2.p57
wire g1.p30 g2.p77
wire g9.p8 g6.p95
wire g6.p81 g10.p21
wire g1.p36 g9.p10
wire g10.p37 g1.p38
wire g8.p81 g10.p46
wire g3.p5 g7.p26
wire g9.p11 g4.p21
wire g3.p12 g2.p72
wire g2.p70 g3.p20
wire g7.p29 g6.p107
wire g3.p18 g4.p19
wire g7.p25 g6.p129
wire g10.p39 g3.p17
wire g8.p57 g10.p31
wire g1.p60 g2.p41
wire g1.p55 g4.p23
wire g2.p69 g4.p17
wire g8.p72 g1.p26
wire g10.p32 g8.p71
wire g9.p10 g6.p81
wire g3.p20 g1.p40
wire g2.p81 g3.p21
wire g2.p72 g1.p53
wire g4.p14 g2.p86
wire g3.p10 g5.p61
wire g10.p23 g4.p18
wire g4.p23 g9.p10
wire g1.p44 g7.p29
wire g3.p21 g2.p48
wire g9.p9 g10.p30
wire g2.p60 g1.p53
wire g3.p18 g8.p61
wire g1.p57 g9.p11
wire g3.p4 g6.p109
wire g7.p27 g5.p57
wire g7.p27 g8.p44
wire g4.p20 g10.p35
wire g4.p16 g2.p94
wire g9.p10 g1.p49
wire g6.p88 g5.p58
wire g5.p60 g2.p36
wire g1.p67 g2.p87
wire g6.p88 g8.p44
wire g4.p16 g1.p42
wire g7.p26 g3.p12
wire g6.p100 g8.p48
wire g2.p48 g1.p49
wire g1.p62 g8.p49
wire g10.p37 g2.p93
wire g10.p26 g3.p19
wire g10.p20 g2.p93
wire g8.p53 g10.p38
wire g2.p42 g8.p50
wire g6.p127 g7.p34
wire g6.p92 g7.p16
wire g8.p38 g4.p24
wire g1.p65 g3.p15
wire g2.p98 g7.p27
wire g4.p22 g2.p52
wire g2.p56 g3.p12
wire g10.p25 g6.p70
wire g6.p114 g2.p73
wire g7.p19 g10.p40
wire g9.p12 g4.p20
wire g9.p9 g4.p16
wire g8.p54 g1.p24
wire g7.p26 g2.p49
wire g5.p66 g2.p45
wire g8.p53 g4.p14
wire g9.p12 g2.p58
wire g8.p68 g2.p67
wire g5.p52 g7.p21
wire g1.p47 g3.p5
wire g3.p16 g8.p33
wire g7.p18 g3.p8
wire g3.p17 g1.p56
wire g10.p43 g9.p12
wire g3.p10 g8.p77
wire g4.p23 g7.p22
wire g5.p74 g6.p76
wire g7.p30 g9.p9
wire g1.p11 g2.p82
wire g1.p71 g7.p30
wire g7.p17 g2.p92
wire g4.p24 g6.p98
wire g8.p71 g10.p24
wire g3.p12 g10.p21
wire g1.p54 g6.p123
wire g8.p36 g5.p77
wire g4.p23 g3.p6
wire g8.p43 g7.p29
wire g1.p37 g3.p14
wire g2.p67 g1.p56
wire g2.p44 g4.p15
wire g3.p13 g8.p41
wire g1.p61 g8.p49
wire g7.p17 g2.p76
wire g5.p64 g8.p50
wire g9.p11 g1.p46
wire g4.p21 g9.p12
wire g2.p45 g6.p86
wire g3.p12 g4.p17
wire g8.p81 g3.p16
wire g10.p35 g8.p59
wire g3.p21 g5.p61
wire g3.p17 g2.p92
wire g8.p44 g9.p8
wire g6.p77 g9.p10
wire g8.p50 g9.p9
wire g3.p5 g10.p22
wire g1.p65 g3.p22
wire g6.p84 g8.p61
wire g3.p20 g1.p68
wire g5.p69 g9.p9
wire g3.p12 g7.p29
wire g3.p14 g1.p43
wire g3.p15 g6.p120
wire g2.p96 g6.p3
wire g3.p4 g2.p73
wire g2.p74 g8.p44
wire g4.p13 g9.p11
wire g3.p17 g1.p46
wire g8.p54 g2.p98
wire g2.p99 g5.p69
wire g3.p11 g10.p34
wire g1.p39 g5.p61
wire g9.p8 g1.p67
wire g10.p26 g4.p15
wire g1.p61 g6.p88
wire g3.p21 g8.p57
wire g6.p88 g4.p24
wire g3.p20 g1.p30
wire g6.p35 g7.p31
wire g10.p26 g9.p8
wire g3.p12 g9.p10
wire g3.p20 g8.p44
wire g8.p65 g5.p77
wire g4.p14 g6.p78
wire g10.p20 g4.p15
wire g6.p103 g2.p45
wire g6.p93 g10.p33
wire g10.p39 g3.p14
wire g1.p48 g8.p74
wire g8.p79 g10.p34
wire g10.p46 g8.p75
wire g10.p32 g2.p76
wire g10.p20 g4.p16
wire g8.p55 g10.p35
wire g6.p111 g5.p72
wire g6.p109 g1.p62
wire g5.p75 g3.p11
wire g2.p77 g8.p39
wire g5.p59 g8.p75
wire g4.p17 g5.p54
wire g10.p29 g1.p33
wire g10.p35 g6.p84
wire g9.p8 g2.p52
wire g7.p28 g10.p42
wire g3.p17 g1.p43
wire g2.p75 g1.p48
wire g1.p60 g2.p87
wire g10.p40 g1.p49
wire g3.p21 g6.p79
wire g8.p66 g4.p13
wire g3.p11 g7.p17
wire g5.p74 g6.p79
wire g5.p55 g6.p119
wire g5.p69 g4.p20
wire g8.p36 g6.p108
wire g9.p11 g4.p14
wire g4.p21 g6.p111
wire g1.p63 g3.p6
wire g3.p5 g8.p56
wire g7.p29 g3.p19
wire g9.p10 g4.p21
wire g6.p87 g8.p48
wire g5.p63 g3.p7
wire g3.p13 g5.p55
wire g8.p61 g10.p41
wire g9.p9 g10.p40
wire g2.p68 g3.p6
wire g8.p66 g2.p72
wire g1.p36 g10.p25
wire g4.p18 g6.p113
wire g5.p60 g10.p26
wire g2.p70 g3.p15
wire g8.p62 g3.p3
wire g4.p17 g5.p61
wire g2.p90 g9.p9
wire g4.p15 g8.p75
wire g2.p50 g4.p13
wire g2.p58 g3.p5
wire g7.p21 g9.p9
wire g10.p33 g1.p59
wire g7.p27 g5.p63
wire g2.p58 g8.p40
wire g10.p34 g8.p77
wire g4.p14 g8.p57
wire g7.p20 g3.p13
wire g10.p38 g8.p38
wire g10.p24 g2.p48
wire g2.p43 g9.p8
wire g8.p74 g7.p20
wire g7.p23 g5.p60
wire g9.p12 g7.p22
wire g6.p123 g2.p49
wire g8.p56 g3.p4
wire g8.p43 g10.p21
wire g4.p24 g6.p88
wire g1.p50 g2.p70
wire g1.p40 g7.p19
wire g7.p18 g1.p58
wire g10.p28 g3.p18
wire g7.p27 g5.p61
wire g10.p25 g3.p21
wire g1.p61 g9.p9
wire g8.p50 g1.p64
wire g2.p78 g3.p9
wire g10.p45 g8.p72
wire g10.p39 g7.p18
wire g5.p71 g3.p4
wire g6.p78 g10.p28
wire g4.p20 g3.p21
wire g3.p6 g6.p48
wire g10.p46 g1.p42
wire g5.p69 g10.p35
wire g4.p17 g10.p44
wire g2.p51 g3.p6
wire g4.p24 g10.p34
wire g4.p13 g2.p69
wire g1.p69 g7.p31
wire g2.p45 g1.p53
wire g6.p125 g7.p25
wire g4.p13 g10.p40
wire g1.p66 g7.p21
wire g2.p43 g1.p42
wire g10.p31 g7.p32
wire g5.p64 g9.p9
wire g1.p60 g7.p23
wire g7.p31 g1.p26
wire g2.p67 g3.p16
wire g5.p73 g3.p6
wire g1.p40 g7.p22
wire g3.p11 g10.p41
wire g7.p20 g1.p55
wire g10.p35 g3.p21
wire g8.p80 g10.p46
wire g10.p27 g7.p32
wire g3.p15 g6.p78
wire g10.p26 g2.p54
wire g9.p11 g1.p53
wire g3.p14 g7.p25
wire g3.p15 g10.p41
wire g4.p16 g9.p10
wire g9.p8 g2.p43
wire g8.p51 g4.p16
wire g3.p7 g10.p45
wire g10.p32 g3.p6
wire g4.p14 g2.p65
wire g5.p54 g2.p49
wire g1.p28 g8.p44
wire g1.p56 g3.p8
wire g6.p124 g5.p71
wire g2.p90 g3.p15
wire g2.p94 g4.p16
wire g2.p54 g7.p20
wire g8.p40 g6.p74
wire g4.p17 g6.p97
wire g9.p12 g2.p71
wire g8.p53 g9.p8
wire g9.p9 g8.p55
wire g2.p56 g8.p77
wire g4.p13 g3.p11
wire g6.p120 g10.p30
wire g10.p33 g3.p5
wire g9.p11 g6.p126
wire g1.p26 g3.p5
wire g6.p90 g7.p22
wire g8.p68 g7.p32
wire g3.p21 g5.p76
wire g7.p19 g3.p15
wire g8.p55 g7.p30
wire g4.p21 g3.p10
wire g1.p61 g9.p8
wire g2.p70 g7.p31
wire g1.p31 g9.p9
wire g5.p65 g2.p47
wire g9.p10 g1.p32
wire g5.p75 g7.p27
wire g1.p40 g2.p88
wire g3.p7 g10.p26
wire g3.p11 g10.p25
wire g1.p43 g8.p56
wire g7.p19 g9.p12
wire g8.p65 g10.p37
wire g4.p19 g8.p65
wire g2.p84 g9.p12
wire g4.p16 g5.p74
wire g2.p75 g10.p39
wire g5.p65 g10.p32
wire g4.p24 g6.p113
wire g4.p23 g7.p30
wire g4.p20 g3.p19
wire g10.p32 g4.p19
wire g10.p23 g7.p28
wire g1.p58 g2.p98
wire g10.p29 g9.p11
wire g1.p24 g4.p16
wire g1.p51 g6.p89
wire g2.p66 g7.p32
wire g6.p100 g8.p60
wire g6.p122 g7.p31
wire g10.p29 g6.p41
wire g4.p13 g5.p67
wire g3.p8 g7.p32
wire g1.p25 g6.p108
wire g5.p72 g2.p47
wire g8.p62 g3.p10
wire g9.p11 g8.p74
wire g1.p51 g4.p22
wire g10.p45 g4.p19
wire g4.p20 g6.p79
wire g2.p76 g9.p11
wire g8.p72 g6.p101
wire g4.p18 g1.p40
wire g7.p25 g3.p5
wire g7.p25 g1.p51
wire g8.p50 g3.p6
wire g1.p39 g3.p11
wire g2.p63 g5.p67
wire g7.p28 g8.p61
wire g2.p78 g6.p109
wire g10.p36 g4.p13
wire g3.p9 g10.p39
wire g6.p118 g9.p8
wire g8.p62 g5.p68
wire g5.p66 g6.p74
wire g8.p76 g9.p8
wire g1.p68 g9.p11
wire g3.p10 g8.p66
wire g5.p59 g3.p6
wire g4.p16 g3.p4
wire g10.p24 g9.p10
wire g4.p19 g3.p14
wire g10.p30 g6.p88
wire g3.p8 g1.p59
wire g10.p23 g4.p22
wire g5.p57 g10.p19
wire g4.p17 g10.p39
wire g3.p16 g7.p15
wire g9.p8 g3.p21
wire g9.p12 g3.p12
wire g1.p36 g2.p45
wire g3.p21 g5.p55
wire g4.p13 g6.p114
wire g5.p51 g8.p76
wire g7.p28 g5.p62
wire g4.p15 g5.p73
wire g8.p74 g3.p16
wire g3.p10 g8.p69
wire g5.p66 g1.p44
wire g7.p30 g6.p100
wire g6.p74 g8.p72
wire g8.p63 g1.p25
wire g6.p115 g3.p15
wire g7.p18 g1.p39
wire g7.p33 g2.p49
wire g6.p112 g2.p64
wire g4.p24 g1.p61
wire g1.p33 g4.p24
wire g5.p55 g6.p101
wire g9.p9 g10.p37
wire g6.p115 g9.p12
wire g2.p41 g10.p42
wire g6.p126 g10.p47
wire g6.p101 g10.p45
wire g4.p18 g10.p47
wire g1.p42 g10.p46
wire g6.p120 g7.p24
wire g4.p24 g10.p30
wire g4.p22 g10.p26
wire g1.p67 g3.p19
wire g4.p21 g9.p8
wire g1.p45 g9.p9
wire g4.p16 g3.p17
wire g5.p65 g8.p64
wire g3.p20 g1.p37
wire g8.p61 g9.p10
wire g10.p43 g3.p15
wire g2.p86 g8.p38
wire g1.p44 g3.p14
wire g1.p29 g2.p71
wire g9.p8 g6.p125
wire g3.p3 g1.p32
wire g10.p27 g9.p8
wire g8.p64 g5.p76
wire g5.p64 g10.p35
wire g7.p19 g10.p27
wire g1.p43 g5.p56
wire g3.p16 g2.p53
wire g8.p75 g4.p22
wire g7.p15 g6.p109
wire g1.p65 g8.p58
wire g3.p18 g4.p20
wire g8.p48 g10.p32
wire g9.p12 g10.p24
wire g8.p40 g5.p66
wire g10.p30 g5.p75
wire g5.p59 g1.p53
wire g6.p89 g8.p77
wire g6.p126 g4.p23
wire g2.p86 g4.p20
wire g2.p53 g1.p26
wire g4.p15 g3.p17
wire g2.p85 g5.p66
wire g4.p15 g8.p78
wire g10.p40 g3.p4
wire g3.p9 g7.p26
wire g6.p77 g3.p15
wire g9.p8 g5.p68
wire g8.p49 g5.p71
wire g10.p37 g1.p55
wire g1.p53 g7.p34
wire g8.p55 g4.p16
wire g8.p56 g7.p34
wire g1.p42 g4.p18
wire g9.p12 g10.p21
wire g6.p90 g7.p19
wire g7.p34 g1.p51
wire g3.p7 g7.p25
wire g10.p35 g8.p42
wire g1.p30 g4.p19
wire g10.p40 g1.p47
wire g10.p39 g3.p4
wire g6.p123 g4.p24
wire g2.p80 g6.p55
wire g9.p10 g1.p53
wire g2.p85 g6.p123
wire g7.p31 g8.p48
wire g3.p3 g2.p73
wire g8.p49 g3.p15
wire g9.p9 g3.p21
wire g6.p126 g1.p54
wire g5.p57 g7.p26
wire g1.p24 g4.p21
wire g7.p26 g5.p53
wire g1.p40 g9.p12
wire g4.p21 g5.p70
wire g10.p34 g5.p76
wire g8.p38 g3.p13
wire g8.p50 g10.p26
wire g3.p6 g4.p20
wire g6.p115 g1.p59
wire g2.p43 g1.p43
wire g3.p8 g2.p72
wire g10.p43 g3.p20
wire g8.p77 g5.p73
wire g3.p12 g1.p41
wire g3.p15 g2.p50
wire g10.p46 g9.p12
wire g2.p51 g9.p9
wire g9.p10 g5.p52
wire g2.p88 g1.p64
wire g6.p115 g2.p83
wire g6.p121 g7.p26
wire g9.p8 g4.p17
wire g3.p18 g1.p70
wire g2.p74 g4.p19
wire g10.p19 g8.p55
wire g5.p53 g9.p11
wire g6.p81 g10.p37
wire g9.p9 g3.p5
wire g3.p20 g6.p101
wire g2.p45 g8.p76
wire g1.p68 g7.p19
wire g1.p32 g9.p8
wire g7.p23 g1.p47
wire g9.p10 g1.p43
wire g4.p15 g2.p87
wire g7.p32 g2.p45
wire g7.p18 g10.p35
wire g1.p54 g2.p53
wire g5.p51 g1.p56
wire g8.p37 g9.p11
wire g8.p77 g6.p130
wire g7.p28 g10.p32
wire g2.p73 g9.p8
wire g3.p13 g1.p25
wire g6.p114 g7.p33
wire g5.p70 g1.p43
wire g8.p59 g10.p24
wire g9.p12 g8.p81
wire g10.p28 g9.p10
wire g10.p42 g7.p26
wire g6.p80 g5.p76
wire g8.p51 g4.p14
wire g10.p24 g7.p23
wire g2.p87 g10.p40
wire g9.p9 g7.p34
wire g3.p6 g6.p84
wire g7.p25 g9.p9
wire g2.p70 g10.p27
wire g10.p34 g2.p50
wire g3.p12 g6.p128
wire g8.p52 g1.p50
wire g1.p36 g3.p7
wire g3.p13 g1.p42
wire g2.p85 g8.p76
wire g6.p71 g4.p17
wire g6.p112 g3.p21
wire g1.p66 g3.p13
wire g9.p11 g4.p15
wire g6.p109 g10.p39
wire g3.p7 g5.p71
wire g10.p30 g4.p22
wire g2.p93 g6.p127
wire g3.p5 g6.p114
wire g7.p32 g2.p60
wire g1.p30 g10.p37
wire g5.p73 g7.p26
wire g3.p9 g4.p13
wire g6.p93 g1.p33
wire g8.p40 g1.p54
wire g3.p13 g8.p79
wire g4.p14 g6.p94
wire g3.p19 g10.p33
wire g1.p33 g10.p37
wire g9.p12 g5.p57
wire g3.p13 g9.p12
wire g3.p22 g7.p15
wire g3.p13 g7.p23
wire g7.p15 g10.p45
wire g2.p49 g5.p52
wire g9.p12 g10.p26
wire g5.p51 g6.p95
wire g10.p23 g3.p9
wire g4.p22 g1.p54
wire g10.p28 g8.p44
wire g3.p5 g4.p22
wire g9.p9 g7.p27
wire g7.p32 g9.p11
wire g1.p52 g5.p72
wire g6.p111 g4.p23
wire g3.p17 g1.p48
wire g3.p20 g7.p18
wire g10.p20 g6.p112
wire g6.p75 g2.p54
wire g1.p57 g5.p73
wire g1.p45 g5.p52
wire g3.p20 g8.p36
wire g1.p63 g6.p100
wire g4.p13 g1.p48
wire g1.p34 g7.p27
wire g1.p34 g8.p65
wire g3.p14 g8.p40
wire g1.p37 g8.p54
wire g8.p58 g10.p37
wire g10.p36 g1.p32
wire g6.p99 g4.p20
wire g4.p23 g3.p15
wire g5.p53 g2.p56
wire g5.p54 g2.p51
wire g3.p16 g2.p42
wire g10.p47 g2.p72
wire g8.p53 g7.p20
wire g7.p23 g9.p12
wire g3.p12 g5.p59
wire g7.p16 g3.p7
wire g5.p68 g7.p32
wire g1.p69 g3.p19
wire g3.p9 g2.p42
wire g1.p64 g9.p9
wire g8.p52 g5.p53
wire g1.p71 g7.p32
wire g3.p19 g1.p53
wire g3.p16 g8.p69
wire g2.p49 g9.p8
wire g5.p54 g6.p125
wire g1.p29 g6.p124
wire g1.p70 g2.p56
wire g10.p46 g5.p60
wire g4.p14 g2.p49
wire g4.p13 g2.p45
wire g7.p31 g2.p95
wire g7.p17 g3.p8
wire g9.p9 g7.p29
wire g4.p14 g7.p15
wire g1.p29 g3.p9
wire g4.p15 g8.p67
wire g7.p18 g8.p81
wire g1.p56 g8.p71
wire g2.p69 g10.p35
wire g3.p18 g5.p66
wire g1.p39 g2.p86
wire g7.p32 g4.p13
wire g8.p65 g7.p18
wire g6.p114 g1.p48
wire g6.p115 g3.p12
wire g3.p21 g2.p61
wire g5.p52 g3.p4
wire g7.p20 g6.p89
wire g3.p19 g1.p61
wire g3.p18 g1.p36
wire g8.p69 g3.p5
wire g3.p10 g4.p19
wire g4.p16 g8.p45
wire g1.p44 g4.p21
wire g1.p35 g10.p31
wire g4.p16 g3.p6
wire g5.p59 g6.p128
wire g7.p34 g3.p17
wire g5.p77 g7.p27
wire g4.p13 g7.p31
wire g1.p28 g7.p20
wire g7.p31 g4.p16
wire g5.p57 g9.p11
wire g1.p67 g3.p5
wire g6.p122 g5.p66
wire g2.p84 g4.p23
wire g2.p42 g10.p27
wire g4.p23 g10.p22
wire g4.p15 g8.p53
wire g4.p24 g8.p40
wire g1.p52 g6.p128
wire g8.p70 g4.p22
wire g3.p11 g2.p67
wire g5.p57 g2.p68
wire g4.p20 g10.p33
wire g10.p21 g6.p97
wire g2.p44 g8.p66
wire g6.p123 g3.p12
wire g6.p129 g3.p4
wire g6.p78 g3.p13
wire g9.p9 g6.p104
wire g1.p54 g9.p8
wire g3.p10 g10.p27
wire g4.p21 g10.p39
wire g8.p67 g3.p19
wire g3.p9 g4.p19
wire g3.p16 g2.p46
wire g8.p63 g10.p22
wire g8.p59 g9.p8
wire g7.p16 g8.p37
wire g1.p28 g2.p92
wire g3.p15 g1.p43
wire g10.p33 g8.p66
wire g9.p10 g7.p16
wire g6.p128 g3.p11
wire g10.p32 g4.p13
wire g9.p8 g8.p62
wire g10.p19 g7.p27
wire g10.p31 g8.p76
wire g10.p35 g3.p15
wire g2.p75 g5.p68
wire g10.p41 g8.p64
wire g6.p87 g2.p94
wire g9.p8 g7.p20
wire g4.p23 g7.p24
wire g2.p82 g3.p7
wire g2.p75 g1.p65
wire g1.p28 g2.p82
wire g6.p93 g10.p25
wire g10.p39 g7.p31
wire g3.p4 g1.p67
wire g4.p24 g8.p48
wire g8.p38 g3.p6
wire g8.p67 g3.p6
wire g5.p77 g7.p28
wire g9.p9 g2.p76
wire g1.p34 g2.p99
wire g3.p21 g1.p54
wire g9.p11 g6.p125
wire g6.p121 g2.p63
wire g6.p110 g1.p67
wire g8.p45 g6.p84
wire g2.p95 g4.p19
wire g2.p86 g6.p90
wire g2.p78 g3.p10
wire g5.p61 g7.p20
wire g1.p65 g3.p20
wire g3.p10 g6.p117
wire g9.p10 g8.p60
wire g7.p27 g5.p60
wire g3.p11 g4.p19
wire g2.p58 g3.p15
wire g6.p96 g10.p46
wire g1.p49 g2.p60
wire g6.p85 g8.p60
wire g8.p54 g9.p12
wire g7.p23 g6.p119
wire g10.p29 g5.p63
wire g3.p6 g10.p34
wire g6.p111 g4.p20
wire g4.p18 g2.p95
wire g7.p22 g3.p5
wire g8.p71 g10.p40
wire g8.p45 g1.p54
wire g4.p20 g8.p71
wire g8.p39 g3.p16
wire g2.p47 g4.p16
wire g8.p74 g9.p9
wire g5.p68 g10.p35
wire g2.p89 g4.p19
wire g10.p34 g4.p17
wire g8.p52 g3.p5
wire g6.p53 g4.p15
wire g8.p38 g3.p22
wire g6.p125 g3.p14
wire g6.p114 g2.p97
wire g6.p119 g10.p22
wire g3.p3 g9.p9
wire g7.p31 g10.p45
wire g3.p14 g2.p44
wire g4.p20 g10.p37
wire g8.p36 g2.p88
wire g2.p44 g4.p16
wire g7.p33 g10.p19
wire g7.p19 g1.p27
wire g4.p18 g7.p27
wire g3.p5 g4.p18
wire g4.p24 g2.p78
wire g10.p27 g4.p20
wire g8.p63 g9.p9
wire g5.p56 g1.p68
wire g8.p48 g9.p11
wire g3.p20 g4.p23
wire g5.p56 g9.p10
wire g3.p15 g10.p28
wire g3.p5 g7.p28
wire g1.p55 g6.p83
wire g3.p21 g8.p54
wire g8.p81 g2.p47
wire g8.p49 g1.p70
wire g5.p66 g1.p25
wire g10.p41 g5.p60
wire g4.p18 g1.p52
wire g10.p40 g3.p15
wire g6.p32 g7.p26
wire g6.p123 g10.p33
wire g3.p17 g9.p9
wire g9.p12 g2.p67
wire g1.p62 g2.p80
wire g6.p125 g9.p9
wire g4.p15 g8.p36
wire g10.p45 g2.p93
wire g1.p64 g7.p33
wire g4.p14 g10.p26
wire g10.p34 g8.p67
wire g3.p22 g1.p70
wire g4.p20 g3.p18
wire g2.p97 g3.p10
wire g4.p24 g3.p8
wire g3.p9 g9.p10
wire g4.p14 g3.p4
wire g9.p9 g10.p34
wire g10.p37 g6.p74
wire g1.p27 g8.p54
wire g3.p22 g7.p19
wire g7.p29 g2.p56
wire g3.p21 g2.p65
wire g7.p22 g5.p63
wire g10.p36 g4.p16
wire g4.p22 g9.p12
wire g2.p84 g10.p43
wire g3.p21 g4.p13
wire g8.p11 g7.p33
wire g3.p22 g5.p63
wire g10.p38 g7.p24
wire g1.p52 g3.p16
wire g4.p14 g5.p61
wire g4.p20 g7.p23
wire g6.p89 g3.p3
wire g10.p21 g6.p123
wire g3.p21 g1.p67
wire g9.p9 g3.p17
wire g2.p84 g3.p13
wire g1.p37 g8.p57
wire g1.p49 g3.p4
wire g1.p58 g8.p71
wire g7.p16 g3.p17
wire g3.p9 g1.p62
wire g1.p49 g2.p86
wire g3.p8 g10.p33
wire g3.p3 g7.p15
wire g2.p86 g7.p33
wire g1.p38 g3.p10
wire g10.p40 g2.p62
wire g2.p67 g4.p16
wire g3.p21 g8.p69
wire g7.p32 g3.p18
wire g8.p73 g3.p5
wire g5.p68 g1.p26
wire g6.p105 g9.p10
wire g10.p33 g9.p10
wire g10.p42 g1.p59
wire g5.p64 g10.p46
wire g8.p48 g2.p64
wire g7.p26 g3.p14
wire g4.p17 g3.p8
wire g3.p14 g6.p84
wire g4.p19 g9.p11
wire g3.p18 g10.p42
wire g4.p23 g1.p25
wire g1.p50 g9.p11
wire g3.p6 g2.p91
wire g3.p12 g9.p12
wire g3.p14 g8.p43
wire g10.p36 g8.p71
wire g10.p29 g3.p19
wire g6.p83 g2.p91
wire g3.p15 g2.p82
wire g8.p50 g5.p52
wire g2.p85 g5.p52
wire g4.p14 g10.p46
wire g10.p22 g6.p112
wire g10.p43 g1.p35
wire g1.p72 g9.p12
wire g1.p39 g3.p19
wire g9.p10 g7.p27
wire g4.p16 g8.p55
wire g9.p11 g3.p12
wire g6.p108 g3.p12
wire g3.p11 g9.p12
wire g7.p34 g4.p15
wire g3.p9 g7.p25
wire g4.p22 g2.p67
wire g6.p99 g9.p9
wire g7.p31 g1.p61
wire g2.p84 g10.p34
wire g10.p26 g6.p76
wire g1.p45 g10.p23
wire g7.p32 g6.p117
wire g2.p74 g9.p12
wire g3.p11 g10.p47
wire g3.p17 g1.p37
wire g5.p74 g2.p73
wire g6.p88 g7.p32
wire g5.p65 g8.p54
wire g8.p42 g3.p11
wire g1.p67 g2.p90
wire g7.p23 g10.p28
wire g1.p27 g7.p26
wire g2.p82 g10.p47
wire g9.p8 g8.p41
wire g3.p17 g1.p62
wire g2.p91 g8.p75
wire g3.p22 g4.p18
wire g8.p76 g1.p55
wire g1.p70 g7.p23
wire g9.p9 g8.p42
wire g7.p26 g1.p36
wire g6.p74 g1.p27
wire g5.p77 g8.p62
wire g7.p31 g5.p63
wire g6.p85 g10.p23
wire g6.p109 g8.p59
wire g6.p126 g1.p66
wire g1.p51 g3.p3
wire g8.p80 g10.p41
wire g3.p8 g1.p32
wire g3.p13 g1.p64
wire g2.p63 g8.p43
wire g4.p17 g7.p33
wire g3.p6 g7.p29
wire g4.p24 g2.p88
wire g2.p94 g3.p4
wire g4.p14 g6.p87
wire g8.p77 g2.p53
wire g7.p22 g3.p17
wire g3.p17 g6.p84
wire g8.p47 g1.p58
wire g2.p56 g3.p16
wire g4.p19 g10.p46
wire g1.p64 g5.p63
wire g10.p39 g4.p16
wire g8.p81 g7.p32
wire g7.p18 g5.p61
wire g7.p30 g2.p89
wire g9.p11 g3.p22
wire g10.p23 g4.p19
wire g10.p25 g7.p27
wire g1.p25 g8.p80
wire g2.p78 g7.p18
wire g4.p21 g3.p18
wire g3.p14 g7.p26
wire g4.p19 g5.p77
wire g10.p45 g1.p71
wire g5.p61 g4.p17
wire g8.p43 g1.p36
wire g10.p39 g2.p47
wire g4.p13 g3.p9
wire g3.p3 g8.p81
wire g5.p70 g7.p34
wire g3.p3 g8.p45
wire g4.p15 g5.p60
wire g6.p91 g1.p35
wire g9.p11 g3.p3
wire g8.p74 g2.p77
wire g4.p18 g2.p87
wire g1.p31 g10.p26
wire g8.p59 g7.p31
wire g2.p74 g10.p41
wire g5.p68 g10.p44
wire g3.p21 g7.p28
wire g10.p23 g7.p18
wire g8.p56 g7.p24
wire g2.p99 g10.p41
wire g6.p113 g3.p10
wire g4.p13 g7.p24
wire g1.p52 g6.p89
wire g10.p23 g6.p124
wire g7.p33 g9.p10
wire g6.p85 g9.p9
wire g8.p42 g3.p13
wire g7.p17 g2.p41
wire g8.p58 g7.p30
wire g5.p78 g7.p33
wire g9.p11 g8.p66
wire g9.p9 g2.p70
wire g9.p12 g2.p94
